	Christmas Vacation	1	1	Monday	1	0
	Christmas Vacation	1	1	Tuesday	2	656
	Christmas Vacation	1	1	Wednesday	3	813
	Christmas Vacation	1	1	Thursday	4	907
	Christmas Vacation	1	1	Friday	5	893
	Christmas Vacation	1	1	Saturday	6	775
	Christmas Vacation	1	1	Sunday	7	1127
	Spring Term	1	2	Monday	8	2665
	Spring Term	1	2	Tuesday	9	2510
	Spring Term	1	2	Wednesday	10	2335
	Spring Term	1	2	Thursday	11	2773
	Spring Term	1	2	Friday	12	2203
	Spring Term	1	2	Saturday	13	958
	Spring Term	1	2	Sunday	14	1365
	Spring Term	1	3	Monday	15	2649
	Spring Term	1	3	Tuesday	16	2833
	Spring Term	1	3	Wednesday	17	2267
	Spring Term	1	3	Thursday	18	2503
	Spring Term	1	3	Friday	19	1923
	Spring Term	1	3	Saturday	20	642
	Spring Term	1	3	Sunday	21	817
	Spring Term	1	4	Monday	22	2396
	Spring Term	1	4	Tuesday	23	2355
	Spring Term	1	4	Wednesday	24	2087
	Spring Term	1	4	Thursday	25	2377
	Spring Term	1	4	Friday	26	2008
	Spring Term	1	4	Saturday	27	788
	Spring Term	1	4	Sunday	28	1008
	Spring Term	1	5	Monday	29	2521
	Spring Term	1	5	Tuesday	30	2593
	Spring Term	1	5	Wednesday	31	2395
	Spring Term	2	5	Thursday	1	2557
	Spring Term	2	5	Friday	2	2216
	Spring Term	2	5	Saturday	3	864
	Spring Term	2	5	Sunday	4	1185
	Spring Term	2	6	Monday	5	2812
	Spring Term	2	6	Tuesday	6	3007
	Spring Term	2	6	Wednesday	7	2457
	Spring Term	2	6	Thursday	8	2495
	Spring Term	2	6	Friday	9	1921
	Spring Term	2	6	Saturday	10	558
	Spring Term	2	6	Sunday	11	782
	Spring Term	2	7	Monday	12	1812
	Spring Term	2	7	Tuesday	13	1686
	Spring Term	2	7	Wednesday	14	1336
	Spring Term	2	7	Thursday	15	1526
	Spring Term	2	7	Friday	16	1504
	Spring Term	2	7	Saturday	17	971
	Spring Term	2	7	Sunday	18	1303
	Spring Term	2	8	Monday	19	2709
	Spring Term	2	8	Tuesday	20	2841
